,alti,drct,dwpf,feel,mslp,relh,sknt,tmpf,valid,vsby,skyc1_CLR,skyc1_FEW,skyc1_OVC,skyc1_SCT,skyc1_VV 
0,30.09999743220303,0.0,54.47961739825105,57.7,1018.399996434302,94.33298363742708,0.0,57.7,27-11-2020 00:15,5.300603432288621,1,0,0,0,0
1,30.11599794576242,0.0,53.05966989543361,55.4,1018.899996434302,96.24331773634432,0.0,55.4,27-11-2020 01:15,4.550471476055293,1,0,0,0,0
2,30.118330500112933,0.0,51.13304050118282,53.2,1018.899996434302,97.33457460087256,0.0,53.2,27-11-2020 02:15,2.958529974679331,0,0,0,0,1
3,30.111108909792613,0.0,49.83325223675973,51.1,1019.0,97.25530617258514,0.0,51.1,27-11-2020 03:01,2.416837709114251,1,0,0,0,0
4,30.10749802760902,0.0,47.76861736506393,48.9,1019.0,97.1753953919598,0.0,48.9,27-11-2020 04:01,1.453117269230255,1,0,0,0,0
5,30.11249815756942,0.0,46.49155215861544,46.9,1019.100003565698,96.96057156951314,0.0,46.9,27-11-2020 05:03,2.083435360403195,1,0,0,0,0
6,30.11356929268231,0.0,44.77847533175416,46.9,1019.0,95.00821084536818,0.0,46.9,27-11-2020 06:04,1.5893724051858078,0,0,0,0,1
7,30.11727067610674,0.0,44.40894797582926,46.0,1019.2,96.7678497237999,0.0,46.0,27-11-2020 07:00,2.909135999377577,1,0,0,0,0
8,30.11845953819061,0.0,42.88444835777335,44.1,1019.4,96.66895925566293,0.0,44.1,27-11-2020 08:02,2.076973716693274,1,0,0,0,0
9,30.11899781762164,0.0,41.510858850006336,42.1,1019.2000000000002,96.25069560669456,0.0,42.1,27-11-2020 09:07,2.472040620641562,0,1,0,0,0
10,30.122497325440406,0.0,40.485513418784265,41.0,1019.5,95.19930562631184,0.0,41.0,27-11-2020 10:10,3.071414015853932,0,0,0,0,1
11,30.143996918643637,12.503343616812597,39.87482390284787,40.3,1020.0,98.11949712003138,0.7502006170087558,40.3,27-11-2020 11:15,5.312917952101575,0,0,0,0,1
12,30.157997688982725,117.51181411273784,40.64993312766374,39.9,1020.7000000000002,98.7622376375341,1.5001337446725038,39.9,27-11-2020 12:15,4.999910836884998,1,0,0,0,0
13,30.182497993829912,0.0,45.399964334754,44.2,1021.2000000000002,97.60959430782675,0.0,44.2,27-11-2020 13:15,9.250066872336252,1,0,0,0,0
14,30.18199788870027,0.0,49.299884449136215,51.8,1021.4,85.46548652619867,0.0,51.8,27-11-2020 14:15,10.0,1,0,0,0,0
15,30.17799640508424,187.99469321958944,47.5597840197435,56.7,1020.899996434302,64.16723120158633,3.0000142655387383,56.7,27-11-2020 15:15,10.0,1,0,0,0,0
16,30.153996918643635,180.01726130187308,43.21957374570251,63.1,1019.999996434302,44.93506640608283,3.000328107390976,63.1,27-11-2020 16:15,10.0,1,0,0,0,0
17,30.123996918643638,256.007788984151,40.91961083610323,66.9,1018.8499982171508,36.777301673347694,4.600165480249362,66.9,27-11-2020 17:15,10.0,1,0,0,0,0
18,30.11399691864363,254.00804576384823,38.5596641892181,70.0,1018.5499982171513,31.831639395711772,3.2001740395726044,70.0,27-11-2020 18:15,10.0,1,0,0,0,0
19,30.09399691864363,256.00850226108787,38.71984336438466,71.4,1018.1499982171512,31.27394142569794,3.6001797457880995,71.4,27-11-2020 19:15,10.0,1,0,0,0,0
20,30.09999800282458,126.0246223198619,43.07947616941753,69.8,1018.5499946514532,40.95725060271901,1.4002624859127806,69.8,27-11-2020 20:15,10.0,0,0,0,1,0
21,30.091997175423334,59.99229660908144,46.79893579081013,64.4,1018.1,57.14747000670481,0.5999229660908144,64.4,27-11-2020 21:15,10.0,1,0,0,0,0
22,30.085996661863938,0.0,49.37925933322872,59.0,1017.7000000000002,73.6717600821695,0.0,59.0,27-11-2020 22:15,10.0,1,0,0,0,0
23,30.07399691864364,62.00972909741937,49.89953351688327,55.6,1017.6,81.57018402544972,0.6000941525556712,55.6,27-11-2020 23:15,7.200359491576199,1,0,0,0,0
24,30.077998402259663,0.0,49.23947559879599,54.5,1018.2000000000002,82.26208020085878,0.0,54.5,28-11-2020 00:15,8.80015406781837,1,0,0,0,0
25,30.085997375140877,69.99101271059502,49.73957117790553,53.2,1018.1,83.56624759269035,0.5999229660908144,53.2,28-11-2020 01:15,9.400077033909186,1,0,0,0,0
26,30.083996918643635,0.0,51.099666186393534,56.3,1017.8,84.93535956290388,0.0,56.3,28-11-2020 02:15,10.0,0,0,1,0,0
27,30.083996918643635,0.0,51.399627669438935,56.5,1017.5499982171513,84.61083995492089,0.0,56.5,28-11-2020 03:15,10.0,0,0,1,0,0
28,30.085997945762426,125.98382287907104,50.97961882480492,55.9,1017.6500017828492,82.67861381760082,1.3998202542119005,55.9,28-11-2020 04:15,10.0,0,0,0,0,0
29,30.08142545647212,84.28085262471471,51.614035498858826,57.9,1017.599996434302,87.38041602135638,0.9999388653407238,57.9,28-11-2020 05:01,8.42872717639387,0,0,0,0,0
30,30.066664566517275,56.65790943997337,52.783182558457455,54.0,1016.9500053485468,95.3730150616374,0.6665636404702749,54.0,28-11-2020 06:10,6.833513629177019,0,0,0,1,0
31,30.061665458090136,116.68251685072693,51.18285208211981,54.7,1017.200003565698,89.92873586857029,2.1669975392589245,54.7,28-11-2020 07:15,7.500029719095113,0,0,0,1,0
32,30.056664566517277,118.33466078624838,51.116398996683344,52.0,1016.8500017828488,91.13472973454904,2.499791966334209,52.0,28-11-2020 08:14,9.83331153933025,0,0,0,1,0
